database,table,location,col_name,data_type
cdf_prod,acrolinx,hdfs://wdc-hdp-stg.vmware.com:8020/apps/hive/warehouse/cdf_prod.db/acrolinx,pubid,int
cdf_prod,acrolinx,hdfs://wdc-hdp-stg.vmware.com:8020/apps/hive/warehouse/cdf_prod.db/acrolinx,publicationdate,string
cdf_prod,acrolinx,hdfs://wdc-hdp-stg.vmware.com:8020/apps/hive/warehouse/cdf_prod.db/acrolinx,publogicalid,string
cdf_prod,acrolinx,hdfs://wdc-hdp-stg.vmware.com:8020/apps/hive/warehouse/cdf_prod.db/acrolinx,pubversion,string
cdf_prod,acrolinx,hdfs://wdc-hdp-stg.vmware.com:8020/apps/hive/warehouse/cdf_prod.db/acrolinx,publangcd,string
cdf_prod,acrolinx,hdfs://wdc-hdp-stg.vmware.com:8020/apps/hive/warehouse/cdf_prod.db/acrolinx,topicid,int
cdf_prod,acrolinx,hdfs://wdc-hdp-stg.vmware.com:8020/apps/hive/warehouse/cdf_prod.db/acrolinx,topiclogicalid,string
cdf_prod,acrolinx,hdfs://wdc-hdp-stg.vmware.com:8020/apps/hive/warehouse/cdf_prod.db/acrolinx,topicversion,string
cdf_prod,acrolinx,hdfs://wdc-hdp-stg.vmware.com:8020/apps/hive/warehouse/cdf_prod.db/acrolinx,topicscoreid,int
cdf_prod,acrolinx,hdfs://wdc-hdp-stg.vmware.com:8020/apps/hive/warehouse/cdf_prod.db/acrolinx,cmspublishinstanceid,int
cdf_prod,acrolinx,hdfs://wdc-hdp-stg.vmware.com:8020/apps/hive/warehouse/cdf_prod.db/acrolinx,qualityscore,int
cdf_prod,acrolinx,hdfs://wdc-hdp-stg.vmware.com:8020/apps/hive/warehouse/cdf_prod.db/acrolinx,grammarscore,int
cdf_prod,acrolinx,hdfs://wdc-hdp-stg.vmware.com:8020/apps/hive/warehouse/cdf_prod.db/acrolinx,spellingscore,int
cdf_prod,acrolinx,hdfs://wdc-hdp-stg.vmware.com:8020/apps/hive/warehouse/cdf_prod.db/acrolinx,stylescore,int
cdf_prod,acrolinx,hdfs://wdc-hdp-stg.vmware.com:8020/apps/hive/warehouse/cdf_prod.db/acrolinx,terminologyscore,int
cdf_prod,acrolinx,hdfs://wdc-hdp-stg.vmware.com:8020/apps/hive/warehouse/cdf_prod.db/acrolinx,clarityindex,int
cdf_prod,acrolinx,hdfs://wdc-hdp-stg.vmware.com:8020/apps/hive/warehouse/cdf_prod.db/acrolinx,informalityindex,int
cdf_prod,acrolinx,hdfs://wdc-hdp-stg.vmware.com:8020/apps/hive/warehouse/cdf_prod.db/acrolinx,livelinessindex,int
cdf_prod,acrolinx,hdfs://wdc-hdp-stg.vmware.com:8020/apps/hive/warehouse/cdf_prod.db/acrolinx,fleschreadingease,int
cdf_prod,acrolinx,hdfs://wdc-hdp-stg.vmware.com:8020/apps/hive/warehouse/cdf_prod.db/acrolinx,wordcount,int
cdf_prod,acrolinx,hdfs://wdc-hdp-stg.vmware.com:8020/apps/hive/warehouse/cdf_prod.db/acrolinx,sentencecount,int
cdf_prod,acrolinx,hdfs://wdc-hdp-stg.vmware.com:8020/apps/hive/warehouse/cdf_prod.db/acrolinx,grammarflagcount,int
cdf_prod,acrolinx,hdfs://wdc-hdp-stg.vmware.com:8020/apps/hive/warehouse/cdf_prod.db/acrolinx,spellingflagcount,int
cdf_prod,acrolinx,hdfs://wdc-hdp-stg.vmware.com:8020/apps/hive/warehouse/cdf_prod.db/acrolinx,styleflagcount,int
